Date,Time,Acel_X,Acel_Y,Acel_Z,Gyro_X,Gyro_Y,Gyro_Z,Temp
2023-07-27,12:01:02,-632,748,17364,-11,276,19,43.02
2023-07-27,12:01:03,-576,712,17288,0,282,38,42.93
2023-07-27,12:01:03,-588,720,17320,15,267,39,43.12
2023-07-27,12:01:04,-612,740,17288,32,272,37,42.98
2023-07-27,12:01:04,-608,788,17280,-20,289,49,42.93
2023-07-27,12:01:05,-652,772,17360,25,306,24,42.93
2023-07-27,12:01:06,-524,736,17392,2,336,46,43.17
2023-07-27,12:01:06,-632,796,17288,7,312,28,43.12
2023-07-27,12:01:07,-632,724,17316,-4,248,26,43.12
2023-07-27,12:01:07,-592,792,17172,3,279,42,42.98
2023-07-27,12:01:08,-616,760,17284,-12,255,35,43.02
2023-07-27,12:01:08,-660,692,17376,-6,277,44,43.02
2023-07-27,12:01:09,-624,780,17344,-13,328,39,43.02
2023-07-27,12:01:09,-544,688,17304,-1,256,53,42.93
2023-07-27,12:01:10,-612,736,17248,-32,240,14,42.98
2023-07-27,12:01:10,-612,744,17296,-21,293,33,43.17
2023-07-27,12:01:11,-616,712,17048,-122,366,70,42.98
2023-07-27,12:01:12,-488,636,17288,523,186,-83,42.98
2023-07-27,12:01:12,-1456,-1668,18224,-2288,-2864,-374,43.02
2023-07-27,12:01:13,-5792,-3632,14400,1530,7898,-1325,42.98
2023-07-27,12:01:13,-10008,532,15064,6902,2808,-587,42.98
2023-07-27,12:01:14,-4128,-1260,17736,-6451,-11657,5271,43.12
2023-07-27,12:01:14,508,-4944,16484,-4365,-2148,3827,42.93
2023-07-27,12:01:15,-3416,-1868,17212,16409,6869,-4589,42.98
2023-07-27,12:01:15,-6592,3096,14200,-3861,1822,-2899,43.12
2023-07-27,12:01:16,-952,-920,18492,-728,-9147,5813,43.17
2023-07-27,12:01:16,-1504,2332,15120,-3007,3152,613,42.98
2023-07-27,12:01:17,5920,-4084,14396,-6122,-4904,983,43.17
2023-07-27,12:01:18,-2764,-2040,19036,5898,28453,-7333,43.26
2023-07-27,12:01:18,-7892,-6376,7428,-1148,-14882,-4098,43.12
2023-07-27,12:01:19,-3924,5708,12024,-19625,-7711,1965,43.12
2023-07-27,12:01:19,-68,1200,16980,-130,387,89,42.84
2023-07-27,12:01:20,-220,1192,17176,36,311,39,42.93
2023-07-27,12:01:20,-148,1204,17248,326,282,59,42.93
2023-07-27,12:01:21,-260,1372,17392,-14,265,54,42.79
2023-07-27,12:01:21,-304,1308,17216,12,282,20,43.31
2023-07-27,12:01:22,-328,1336,17332,-25,298,0,42.79
2023-07-27,12:01:23,-152,1336,17304,99,297,34,42.98
2023-07-27,12:01:23,-220,1340,17236,69,224,49,42.98
2023-07-27,12:01:24,-296,1328,17272,5,290,46,43.31
2023-07-27,12:01:24,-284,1248,17332,20,263,25,42.98
2023-07-27,12:01:25,-292,1332,17288,-15,292,6,43.26
2023-07-27,12:01:25,-284,1312,17312,-11,295,6,43.35
2023-07-27,12:01:26,-308,1376,17332,-14,301,74,43.31
2023-07-27,12:01:26,-320,1312,17252,-31,319,54,43.45
2023-07-27,12:01:27,-292,1384,17268,-5,278,28,43.02
2023-07-27,12:01:27,-252,1360,17300,5,258,51,43.26
2023-07-27,12:01:28,-288,1356,17340,62,312,64,43.17
2023-07-27,12:01:29,-256,1352,17364,7,343,43,43.26
2023-07-27,12:01:29,-308,1340,17268,50,241,71,43.12
2023-07-27,12:01:30,-280,1340,17316,89,276,54,42.93
2023-07-27,12:01:30,-248,1352,17368,-51,258,51,43.02
2023-07-27,12:01:31,-280,1404,17384,-15,251,22,42.98
2023-07-27,12:01:31,-320,1404,17284,-27,257,22,43.12
2023-07-27,12:01:32,-200,1316,17172,-170,271,59,42.98
2023-07-27,12:01:32,-424,1424,17324,-558,-287,157,43.31
2023-07-27,12:01:33,-132,2076,17148,-863,-110,348,42.98
2023-07-27,12:01:33,-132,2496,17120,-6,279,44,43.35
2023-07-27,12:01:34,-128,2432,17248,15,246,27,42.98
2023-07-27,12:01:35,-164,2420,17200,-31,292,51,43.17
2023-07-27,12:01:35,-128,2480,17096,-17,212,65,43.12
2023-07-27,12:01:36,-156,2460,17136,-16,309,43,43.17
2023-07-27,12:01:36,-96,2420,17200,-4,260,62,43.02
2023-07-27,12:01:37,-168,2476,17224,33,299,50,42.98
2023-07-27,12:01:37,-124,2496,17124,15,283,25,42.98
2023-07-27,12:01:38,-220,2484,17176,-9,250,38,43.02
2023-07-27,12:01:38,-120,2400,17188,-8,247,63,43.02
2023-07-27,12:01:39,-208,2460,17192,1,258,46,42.98
2023-07-27,12:01:39,-156,2468,17196,-9,233,18,43.26
2023-07-27,12:01:40,-152,2416,17180,7,287,39,43.02
2023-07-27,12:01:41,-180,2448,17148,-5,283,52,43.26
2023-07-27,12:01:41,-164,2424,17140,11,283,32,43.02
2023-07-27,12:01:42,-212,2484,17196,6,280,35,43.26
2023-07-27,12:01:42,-124,2424,17148,7,271,14,43.12
2023-07-27,12:01:43,-136,2408,17104,-22,313,20,43.26
2023-07-27,12:01:43,-180,2448,17144,-20,237,46,42.98
2023-07-27,12:01:44,-144,2420,17256,-11,284,38,43.31
2023-07-27,12:01:44,-132,2416,17212,22,290,44,43.17
2023-07-27,12:01:45,-108,2484,17156,-15,252,85,42.84
2023-07-27,12:01:45,-136,2464,17192,-11,242,21,43.26
2023-07-27,12:01:46,-156,2408,17220,7,261,21,43.02
2023-07-27,12:01:47,-200,2472,17200,-6,266,58,43.31
2023-07-27,12:01:47,56,2480,17212,634,345,5,43.17
2023-07-27,12:01:48,-696,-904,17784,3008,-1953,906,42.98
2023-07-27,12:01:48,-4084,1112,16292,1204,11181,830,43.17
2023-07-27,12:01:49,4528,-1352,16984,-4952,-10162,1388,42.98
2023-07-27,12:01:49,4704,-4580,15352,-1689,-315,1229,43.12
2023-07-27,12:01:50,-844,136,19772,4975,7248,-5311,43.26
2023-07-27,12:01:50,-7448,-2232,15044,-5230,144,-1780,43.02
2023-07-27,12:01:51,4692,-8600,16840,-3980,-14166,4579,43.26
2023-07-27,12:01:51,524,-2896,17380,5588,7919,-5310,43.17
2023-07-27,12:01:52,3656,-132,18124,-4375,-4639,-646,43.31
2023-07-27,12:01:53,3864,-1860,16788,521,381,-57,43.35
2023-07-27,12:01:53,3816,-2288,16812,-565,509,200,43.12
